species	Residues	Charge	Tiny	Small	Aliphatic	Aromatic	Non_polar	Polar	Charged	Basic	Acidic
Accipiter_gentilis	50	6.0	15	22	10	4	18	32	14	10	4
Acinonyx_jubatus	49	4.0	17	25	11	8	24	25	13	9	4
Acomys_russatus	49	4.0	15	27	10	5	22	27	10	7	3
Ahaetulla_prasina	49	4.5	14	27	12	3	19	30	13	9	4
Ailuropoda_melanoleuca	49	3.5	16	25	12	6	24	25	12	8	4
Anas_platyrhynchos	50	5.5	14	24	9	7	19	31	14	10	4
Anolis_carolinensis	50	4.5	14	19	8	6	18	32	18	12	6
Anolis_sagrei_ordinatus	49	3.5	14	19	8	4	17	32	16	10	6
Anser_cygnoides	50	6.5	15	23	8	6	18	32	15	11	4
Antechinus_flavipes	48	6.5	17	22	10	6	19	29	11	9	2
Antrostomus_carolinensis	50	6.0	16	23	9	4	18	32	14	10	4
Aotus_nancymaae	49	4.0	15	24	10	8	22	27	13	9	4
Apodemus_sylvaticus	49	4.0	18	25	9	7	19	30	13	9	4
Aptenodytes_forsteri	50	5.0	16	24	10	5	19	31	13	9	4
Apteryx_mantelli_mantelli	50	6.0	16	24	8	5	19	31	14	10	4
Apteryx_rowi	50	6.0	16	24	8	5	19	31	14	10	4
Aquila_chrysaetos_chrysaetos	50	7.0	15	21	11	3	17	33	15	11	4
Artibeus_jamaicensis	49	4.0	17	23	7	8	20	29	11	8	3
Arvicanthis_niloticus	49	4.5	17	24	11	7	20	29	14	10	4
Arvicola_amphibius	49	3.5	19	26	10	6	21	28	12	8	4
Athene_cunicularia	50	6.0	13	24	9	4	19	31	14	10	4
Aythya_fuligula	50	6.0	14	24	9	8	19	31	15	11	4
Balaenoptera_acutorostrata	49	4.0	17	25	10	6	23	26	12	8	4
Balaenoptera_musculus	49	4.0	18	25	10	6	23	26	12	8	4
Balaenoptera_ricei	49	4.0	18	25	10	6	23	26	12	8	4
Balearica_regulorum_gibbericeps	49	6.0	13	21	10	4	19	30	14	10	4
Bison_bison_bison	49	3.5	17	25	11	9	24	25	13	9	4
Bombina_bombina	48	4.5	12	21	12	5	19	29	15	10	5
Bos_indicus	49	3.5	17	25	11	9	24	25	13	9	4
Bos_indicus_x_Bos_taurus	49	3.5	17	25	11	9	24	25	13	9	4
Bos_mutus	49	3.5	17	25	11	9	24	25	13	9	4
Bos_taurus	49	3.5	17	25	11	9	24	25	13	9	4
Bubalus_bubalis	49	3.5	18	26	11	8	24	25	13	9	4
Bubalus_carabanensis	49	3.5	18	26	11	8	24	25	13	9	4
Budorcas_taxicolor	49	3.5	19	27	11	8	23	26	13	9	4
Bufo_gargarizans	47	3.0	15	24	11	6	19	28	14	9	5
Calidris_pugnax	50	5.0	17	23	10	4	18	32	13	9	4
Callithrix_jacchus	49	4.0	15	24	11	8	22	27	13	9	4
Callorhinus_ursinus	49	3.5	16	23	10	8	24	25	12	8	4
Camelus_bactrianus	43	2.5	15	24	9	6	21	22	11	7	4
Camelus_dromedarius	43	2.5	15	24	9	6	21	22	11	7	4
Camelus_ferus	43	2.5	15	24	9	6	21	22	11	7	4
Canis_lupus_dingo	49	3.5	14	22	11	8	25	24	12	8	4
Canis_lupus_familiaris	49	3.5	14	22	11	8	25	24	12	8	4
Capra_hircus	49	3.5	19	26	10	8	23	26	13	9	4
